ID,Global_U,Global_V,Map_X,Map_Y,Width_m,Length_m
593,4878,4893,17.10,17.24,0.25,0.25
594,4585,5430,14.44,22.13,0.21,0.20
595,4950,4739,17.76,15.83,0.23,0.25
596,4882,5287,17.14,20.82,0.15,0.16
597,4512,5430,13.77,22.13,0.18,0.18
598,4921,4908,17.49,17.38,0.20,0.19
599,4806,5361,16.44,21.50,0.31,0.30
600,4844,5371,16.79,21.59,0.20,0.23
601,4797,5441,16.37,22.23,0.19,0.24
602,4890,4649,17.21,15.01,0.22,0.25
603,4928,4628,17.55,14.83,0.18,0.17
604,4954,5075,17.79,18.90,0.18,0.26
605,4561,5433,14.21,22.15,0.22,0.20
606,4896,5201,17.27,20.04,0.19,0.18
607,4755,5397,15.98,21.82,0.21,0.20
608,4900,5145,17.30,19.53,0.21,0.23
609,4912,4609,17.41,14.65,0.16,0.15
610,4947,4762,17.73,16.04,0.17,0.20
611,4797,5441,16.36,22.23,0.16,0.22
612,4628,5390,14.83,21.77,0.12,0.15
